movie_name,language
Marjaavaan,Hindi
"Easy to Learn, Hard to Master The Fate of Atari",English
Disko,English
Capmaari,Tamil
Ek Poshla Bristi,Bengali
Bidaay Byomkesh,Bengali
Charlie's Angels,Hindi
Kalank,Hindi
Durgeshgorer Guptodhon,Bengali
Mighty Raju,Hindi
Who’s Driving The Car?,English
The People's Girls,English
Mogra Phulaalaa,Marathi
DK Bose,Kannada
The Captain,Hindi
Annabelle Comes Home,Tamil
Kiriti O Kalo Bhromor,Bengali
Sukh Dukkher Sonsar,Bengali
Bhalo Theko Ful,Bengali
NEURON,Kannada
Jackpot (Telugu),Telugu
The Professor,English
Appa Ani Bappa,Marathi
Manikarnika: The Queen of Jhansi,Telugu
Shadaa,Punjabi
F2 - Fun and Frustration,Telugu
Baccha Shoshur,Bengali
Pailwaan (Tamil),Tamil
Nenu Lenu,Telugu
Navaratri,Kannada
Lucifer (Tamil),Tamil
Kolkotha 2,Bengali
PLEASE DRESS APPROPRIATELY,English
Notebook,Hindi
Kolkata on Book fair,Bengali
Thoota,Telugu
Out of the Dark,English
Jani Dekha Hobe,Bengali
Bakrid,Kannada
Baba Loknath,Bengali
Bibaho Diaries,Bengali
Goyenda Junior,Bengali
George Reddy,Telugu
Zombieland: Double Tap,English
F2 - Fun and Frustration,Hindi
Sye Raa Narasimha Reddy (Malayalam),Malayalam
Evadu Thakkuva Kadu,Telugu
Nani's Gang Leader,Telugu
Trump Russia,English
Weekend,Kannada
Vinaya Vidheya Rama,Telugu
Gubbi Mele Brahmastra,Kannada
Rustum,Kannada
Ambili,Malayalam
Love in Porn,English
Aghatan,Bengali
Thanimai,Tamil
Kalki,Telugu
Mamangam,Hindi
Black and Blue,Tamil
Aatakkuntu Lekkakkilla,Kannada
Little Women,Hindi
Cheers!,Hindi
Dashami,Bengali
The Hole in the Ground,Hindi
Himalayan Gold Rush,English
Brittany Runs A Marathon,English
Aame,Telugu
Dolan Chanpa,Bengali
Operation Gold Fish,Telugu
D/O Parvathamma,Kannada
The Poison Rose,English
Nilachale Kiriti,Bengali
Kavaludaari,Kannada
Manikarnika: The Queen of Jhansi,Hindi
POLITICAL HOLLYWOOD,English
Overcomer,Hindi
The Room,Hindi
Mumbai Apli Ahe,Marathi
Borderland Blues,English
Kathanam,Kannada
The Pulse of the Atlantic Forest,English
GOSIGANG,Kannada
Arale,Bengali
Mrinaler Chithi,Bengali
The Grudge,English
Wonder Woman: Bloodlines,English
Bhagyanagara Veedullo Gammathu,Telugu
Honey Boy,English
Secrets,Kannada
Kolaiyuthir Kaalam,Tamil
Kolkotha,Bengali
IT Chapter Two,Hindi
Hitler's Last Secrets,English
Godzilla: King of The Monsters,Telugu
Janamaithri,Malayalam
The Courier,English
Jiivi,Tamil
Order Order Out Of Order,Gujarati
Biloya - Not A Traditional War,Bengali
Suryakantham,Telugu
Jumanji: The Next Level,Hindi
Fight 1:1,Bengali
The Room,Tamil
Chhota Bheem And Krishna,Hindi
"SHAKE THIS OUT, AN URBAN HISTORY OF GREETING",English
LEGO Marvel Spider-Man: Vexed by Venom,English
Special,Telugu
Khandani Shafakhana,Hindi
