movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Welcome,Hindi,2007,13+,149,6.9
Gangs of Wasseypur Part 1,Hindi,2012,18+,161,8.2
Ghar Basake Dekho,Hindi,None,NR,139,5.8
GAMBIT,English,2013,13+,89,5.7
Ab To Jagoo,Hindi,2013,NR,90,0
Rajavinte Makan,Malayalam,1986,NR,128,7.6
Around Them,English,2020,13+,52,0
Manya Sajjana,Marathi,2008,All,120,0
Adarshavanthudu,Telugu,None,NR,126,0
Mahanati (Telugu),Telugu,2018,All,170,8.5
Yatra (Malayalam),Malayalam,2019,All,125,8.2
Cat in the Hat,English,2003,7+,81,4
Kirdar E Sardar,Punjabi,2017,13+,136,7.2
Alvin and the Chipmunks: The Squeakquel,English,2009,All,88,4.5
Touring Talkies,English,2020,13+,52,7.7
Pratignya,Bengali,1985,NR,117,0
Gold,Hindi,2018,13+,145,7.3
Baap Re Baap Dokyala Taap,Marathi,2008,All,140,6
Rapture-Palooza,English,2013,18+,84,5.2
Jane Anjane,Hindi,1971,NR,139,0
Aloo Paratha,Bengali,2020,13+,4,0
C.B.I. Shankar,Kannada,1989,NR,130,7.7
Billa No. 786,Hindi,2001,NR,140,4.5
Darna Mana Hai,Hindi,2003,18+,116,6.3
Vivaha Bhojanambu,Telugu,1988,NR,138,7.7
Hear No Evil,English,1993,18+,96,5.1
Homefront,Telugu,2013,18+,96,6.5
Bobbili Brahmanna,Telugu,1984,NR,122,5.4
Hum Ho Gaye Aap Ke,Hindi,2001,13+,157,4.2
Ellame En Pondattithaan,Tamil,1998,All,152,0
Okkadu,Telugu,2003,NR,155,8
The Collection,English,2012,18+,77,6.1
Tere Pyar Mein,Hindi,1979,NR,108,0
The Stolen Princess (Telugu),Telugu,2018,All,88,0
Prithibir Sesh Station,Bengali,1993,NR,124,0
Pudhu Yugam,Tamil,1985,NR,120,0
The Peanut Seller,Hindi,2017,All,19,0
Bazaar,Kannada,2019,13+,147,5.9
It Happened One Christmas,English,1977,13+,110,6.2
Ente Kaanakkuyil,Malayalam,1985,NR,116,0
Silly Fellows,Telugu,2018,All,123,6
Kaya Hiner Kahini,Bengali,1973,NR,113,6.9
Raatriki Velayara,Telugu,1994,NR,59,0
Chitchor,Hindi,1976,All,102,7.5
Kanoon,Hindi,None,All,139,7.9
Hit (The First Case),Telugu,2020,13+,128,7.7
Srinivasa Kalyanam,Hindi,2018,All,122,6.1
Shuddh Desi Romance,Hindi,2013,13+,126,5.8
Bal Ganesh (Malayalam),Malayalam,2007,All,102,0
The Bongs Again,Bengali,2017,13+,116,5.5
Mettukudi,Tamil,1996,All,135,6.6
Touch Chesi Chudu,Telugu,2018,13+,141,4.8
Sadi Gali Aaya Karo,Punjabi,2012,All,135,0
Zenda,Marathi,2009,13+,121,7
Streetscapes [Dialogue],English,2017,NR,131,0
Dugout,English,2019,13+,52,0
Padmaavat,Telugu,2018,13+,162,7
Kinaare,Kannada,2018,13+,155,0
Chirantan,Bengali,1979,NR,100,0
Pangali,Tamil,1992,NR,160,0
Looper,English,2012,18+,114,7.4
Sahasam Swasaga Sagipo,Telugu,2016,13+,136,6.9
Mujhse Fraaandship Karoge,Hindi,2011,13+,104,6.9
Thavamai Thavamirunthu,Tamil,2005,All,204,7.8
Air Strike,Hindi,2018,18+,97,3.2
Lights Out,Tamil,2016,18+,80,6.3
The Burning Hell,English,1974,NR,59,3.6
Room,English,2015,16+,113,8.1
Pahare Atankya,Bengali,2016,13+,123,0
Kayamkulam Kanaran,Malayalam,2002,NR,114,3.9
Mariah Carey's All I Want For Christmas Is You,English,2017,All,90,0
Drona,Hindi,2008,NR,144,0
Punjab Singh,Punjabi,2018,13+,150,6.2
Shriman Prithviraj,Bengali,2017,13+,107,0
Her,English,2014,18+,121,8
The Matrix,English,1999,18+,136,8.7
Chingari,Kannada,2012,13+,127,5.6
Bobby Jasoos,Hindi,2014,All,116,5.5
Fanaa,Hindi,2006,13+,168,7.2
Bhoot Part One - The Haunted Ship,Hindi,2020,16+,110,5.4
Gavthi,Marathi,2018,NR,152,7.5
Rammstein in Amerika - Live from Madison Square Garden,English,2015,18+,101,8.7
Cinerama’s Russian Adventure,English,None,7+,127,0
Maaveeran,Tamil,1986,NR,156,7.6
Mithai,Telugu,2019,13+,137,4.3
Made with Pride,English,2020,13+,56,0
Aaron,Marathi,2018,13+,115,7.3
Jack Ryan: Shadow Recruit,Hindi,2014,13+,105,6.2
Chira Bhandhavya,Kannada,1993,NR,134,0
Texas Chainsaw Massacre,Hindi,2013,18+,88,4.8
Adhinayakudu,Telugu,2012,18+,151,3.6
Mutthanna,Kannada,1994,NR,146,8.6
